kingdom,class,phylum,order,family,genus,species
Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis saxatalis
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ctenodon,Ctenodon niveus
Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,Aetobatus laticeps
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus narinari
Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Afrocucumis,Afrocucumis ovulum
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agaeocera,Agaeocera scintillans
Animalia,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
Animalia,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Agalma,Agalma okenii
Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,Agalychnis dacnicolor
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus lilaceps
Fungi,Basidiomycota,Basidiomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus placomyces
Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,Agaronia,Agaronia propatula
Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,Agaronia,Agaronia testacea
Animalia,Echinodermata,Echinoidea,Spatangoida,Prenasteridae,Agassizia,Agassizia scrobiculata
Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Agathistoma,Agathistoma felipense
Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Agathotoma,Agathotoma alcippe
Plantae,Anthophyta,Monocotyledoneae,Asparagales,Asparagaceae,Agave,Agave (agave) angustifolia
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) aurea
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) cerulata
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) cerulata cerulata
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) cerulata dentiens
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) cerulata nelsonii
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) colorata
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) datylio
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) rhodacantha
Plantae,Anthophyta,Monocotyledoneae,Asparagales,Asparagaceae,Agave,Agave (agave) sisalana
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) sobria
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) sobria frailensis
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) sobria roseana
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (agave) sobria sobria
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (littaea) chrysoglossa
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave (littaea) vilmoriniana
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave aktites
Plantae,Anthophyta,Monocotyledoneae,Asparagales,Asparagaceae,Agave,Agave angustifolia
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave aurea
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave bovicornuta
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave bulliana
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave cerulata
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave cerulata subsp.
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave cerulata subsp.
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave chrysoglossa
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave colorata
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave datylio
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave datylio datylio
Plantae,Anthophyta,Monocotyledoneae,Asparagales,Asparagaceae,Agave,Agave deserti
Plantae,Anthophyta,Monocotyledoneae,Asparagales,Asparagaceae,Agave,Agave deserti deserti
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave felgeri
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave ornithobroma
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave rhodacantha
Plantae,Anthophyta,Monocotyledoneae,Asparagales,Asparagaceae,Agave,Agave shawii
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave sobria
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave sobria sobria
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave sobria subsp.
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave sobria subsp.
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave sobria roseana
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave subsimplex
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave vilmoriniana
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave vivipara
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,Agave zebra
Animalia,Chordata,Squamata,Squamata,Viperidae,Agkistrodon,Agkistrodon bilineatus
Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,Aglantha elata
Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus erectans
Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,Aglaophamus verrilli
Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia diegensis
Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia symmetrica
Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia whiteleggei
Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglaura,Aglaura hemistoma
Plantae,Tracheophyta,Magnoliopsida,Santalales,Opiliaceae,Agonandra,Agonandra racemosa
Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Agosia,Agosia chrysogaster
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,Agraulis vanillae
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus latifrons
Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Agrius,Agrius cingulata
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,Agrocybe retigera
Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,Ahnfeltia plicata
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,Ahnfeltiopsis concinna
